"Title"	"ISSN"	"Languages (three-letter ISO language codes)"
"ACADEMIC JOURNAL OF MODERN PHILOLOGY"	"2299-7164|2353-3218"	"MUL"
"ACADEMIC JOURNAL OF SECOND MILITARY MEDICAL UNIVERSITY"	"0258-879X"	"CHI"
"ACADEMIC MEDICINE"	"1040-2446|1938-808X"	"ENG"
"ACADEMIC PATHOLOGY"	"2374-2895"	"ENG"
"ACADEMIC PEDIATRICS"	"1876-2859|1876-2867"	"ENG"
"ACADEMIC PSYCHIATRY"	"1042-9670|1545-7230"	"ENG"
"ACADEMIC QUARTER"	"1904-0008"	"DAN"
"ACADEMIC QUESTIONS"	"0895-4852"	"ENG"
"ACADEMIC RADIOLOGY"	"1076-6332|1878-4046"	"ENG"
"ACADEMY OF MANAGEMENT ANNALS"	"1941-6067|1941-6520"	"ENG"
"ACADEMY OF MANAGEMENT DISCOVERIES"	"2168-1007"	"ENG"
"ACADEMY OF MANAGEMENT JOURNAL"	"0001-4273|1948-0989"	"ENG"
"ACADEMY OF MANAGEMENT LEARNING AND EDUCATION"	"1537-260X|1944-9585"	"ENG"
"ACADEMY OF MANAGEMENT PERSPECTIVES"	"1558-9080|1943-4529"	"ENG"
"ACADEMY OF MANAGEMENT REVIEW"	"0363-7425|1930-3807"	"ENG"
"ACADEMY REVIEW"	"2074-5354|2522-9745"	"ENG|RUS|UKR"
"ACADIENSIS"	"0044-5851|1712-7432"	"ENG|FRE|MUL"
"ACARINA"	"0132-8077|2221-5115"	"ENG|RUS"
"ACAROLOGIA"	"0044-586X|2107-7207"	"ENG|MUL"
"ACCESS TO JUSTICE IN EASTERN EUROPE"	"2663-0575|2663-0583"	"ENG"
"ACCIDENT ANALYSIS AND PREVENTION"	"0001-4575|1879-2057"	"ENG"
"ACCIONES E INVESTIGACIONES SOCIALES"	"1132-192X|2340-4507"	"SPA"
"ACCION PSICOLOGICA"	"1578-908X|2255-1271"	"ENG|SPA"
"ACCOUNTABILITY IN RESEARCH - POLICIES AND QUALITY ASSURANCE"	"0898-9621|1545-5815"	"ENG"
"ACCOUNTING AND BUSINESS RESEARCH"	"0001-4788|2159-4260"	"ENG"
"ACCOUNTING AND FINANCE"	"0810-5391|1467-629X"	"ENG"
"ACCOUNTING AND THE PUBLIC INTEREST"	"1530-9320"	"ENG"
"ACCOUNTING, AUDITING AND ACCOUNTABILITY JOURNAL"	"0951-3574|1758-4205"	"ENG"
"ACCOUNTING, ECONOMICS AND LAW: A CONVIVIUM"	"2152-2820|2194-6051"	"ENG"
"ACCOUNTING EDUCATION"	"0963-9284|1468-4489"	"ENG"
"ACCOUNTING FORUM"	"0155-9982|1467-6303"	"ENG"
"ACCOUNTING HISTORIANS JOURNAL"	"0148-4184|2327-4468"	"ENG"
"ACCOUNTING HISTORY"	"1032-3732|1749-3374"	"ENG"
"ACCOUNTING HISTORY REVIEW"	"2155-2851|2155-286X"	"ENG"
"ACCOUNTING HORIZONS"	"0888-7993|1558-7975"	"ENG"
"ACCOUNTING IN EUROPE"	"1744-9480|1744-9499"	"ENG"
"ACCOUNTING, ORGANIZATIONS AND SOCIETY"	"0361-3682|1873-6289"	"ENG"
"ACCOUNTING PERSPECTIVES"	"1911-382X|1911-3838"	"ENG|MUL"
"ACCOUNTING RESEARCH JOURNAL"	"1030-9616|1839-5465"	"ENG"
"ACCOUNTING REVIEW"	"0001-4826|1558-7967"	"ENG"
"ACCOUNTS OF CHEMICAL RESEARCH"	"0001-4842|1520-4898"	"ENG"
"ACCOUNTS OF MATERIALS RESEARCH"	"2643-6728"	"ENG"
"ACCREDITATION AND QUALITY ASSURANCE"	"0949-1775|1432-0517"	"ENG"
"ACE - ARCHITECTURE CITY AND ENVIRONMENT"	"1887-7052|1886-4805"	"CAT|ENG|ITA|POR|SPA"
"ACESSO LIVRE"	"2319-0698"	"POR"
"ACG CASE REPORTS JOURNAL"	"2326-3253"	"ENG"
"ACI MATERIALS JOURNAL"	"0889-325X|1944-737X"	"ENG"
"ACI STRUCTURAL JOURNAL"	"0889-3241|1944-7361"	"ENG"
"ACM COMMUNICATIONS IN COMPUTER ALGEBRA"	"1932-2232|1932-2240"	"ENG"
"ACM COMPUTING SURVEYS"	"0360-0300|1557-7341"	"ENG"
"ACME"	"1492-9732"	"ENG"
"ACME - ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO"	"0001-494X|2282-0035"	"ITA"
"ACM JOURNAL OF DATA AND INFORMATION QUALITY"	"1936-1955"	"ENG"
"ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE"	"1556-4673|1556-4711"	"ENG"
"ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS"	"1550-4832|1550-4840"	"ENG"
"ACM SIGBED REVIEW"	"1551-3688"	"ENG"
"ACM SIGCOMM COMPUTER COMMUNICATION REVIEW"	"0146-4833|1943-5819"	"ENG"
"ACM SIGECOM EXCHANGES"	"1551-9031"	"ENG"
"ACM TRANSACTIONS ON ACCESSIBLE COMPUTING"	"1936-7228|1936-7236"	"ENG"
"ACM TRANSACTIONS ON ALGORITHMS"	"1549-6325|1549-6333"	"ENG"
"ACM TRANSACTIONS ON APPLIED PERCEPTION"	"1544-3558|1544-3965"	"ENG"
"ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION"	"1544-3566|1544-3973"	"ENG"
"ACM TRANSACTIONS ON ASIAN AND LOW - RESOURCE LANGUAGE INFORMATION PROCESSING"	"2375-4699|2375-4702"	"ENG"
"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS"	"1556-4665|1556-4703"	"ENG"
"ACM TRANSACTIONS ON COMPUTATIONAL LOGIC"	"1529-3785|1557-945X"	"ENG"
"ACM TRANSACTIONS ON COMPUTATION THEORY"	"1942-3454|1942-3462"	"ENG"
"ACM TRANSACTIONS ON COMPUTER - HUMAN INTERACTION"	"1073-0516|1557-7325"	"ENG"
"ACM TRANSACTIONS ON COMPUTER SYSTEMS"	"0734-2071|1557-7333"	"ENG"
"ACM TRANSACTIONS ON COMPUTING EDUCATION"	"1946-6226"	"ENG"
"ACM TRANSACTIONS ON COMPUTING FOR HEALTHCARE"	"2637-8051|2691-1957"	"ENG"
"ACM TRANSACTIONS ON CYBER - PHYSICAL SYSTEMS"	"2378-962X|2378-9638"	"ENG"
"ACM TRANSACTIONS ON DATABASE SYSTEMS"	"0362-5915|1557-4644"	"ENG"
"ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS"	"1084-4309|1557-7309"	"ENG"
"ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION"	"2167-8375|2167-8383"	"ENG"
"ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS"	"1539-9087|1558-3465"	"ENG"
"ACM TRANSACTIONS ON GRAPHICS"	"0730-0301|1557-7368"	"ENG"
"ACM TRANSACTIONS ON HUMAN - ROBOT INTERACTION"	"2573-9522"	"ENG"
"ACM TRANSACTIONS ON INFORMATION SYSTEMS"	"1046-8188|1558-2868"	"ENG"
"ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY"	"2157-6904|2157-6912"	"ENG"
"ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS"	"2160-6455|2160-6463"	"ENG"
"ACM TRANSACTIONS ON INTERNET OF THINGS"	"2577-6207"	"ENG"
"ACM TRANSACTIONS ON INTERNET TECHNOLOGY"	"1533-5399|1557-6051"	"ENG"
"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA"	"1556-4681|1556-472X"	"ENG"
"ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS"	"2158-656X|2158-6578"	"ENG"
"ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE"	"0098-3500|1557-7295"	"ENG"
"ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION"	"1049-3301|1558-1195"	"ENG"
"ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS"	"2376-3639|2376-3647"	"ENG"
"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING, COMMUNICATIONS AND APPLICATIONS"	"1551-6857|1551-6865"	"ENG"
"ACM TRANSACTIONS ON PARALLEL COMPUTING"	"2329-4949|2329-4957"	"ENG"
"ACM TRANSACTIONS ON PRIVACY AND SECURITY"	"2471-2566|2471-2574"	"ENG"
"ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS"	"0164-0925|1558-4593"	"ENG"
"ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS"	"1936-7406|1936-7414"	"ENG"
"ACM TRANSACTIONS ON SENSOR NETWORKS"	"1550-4859|1550-4867"	"ENG"
"ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY"	"1049-331X|1557-7392"	"ENG"
"ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS"	"2374-0353|2374-0361"	"ENG"
"ACM TRANSACTIONS ON STORAGE"	"1553-3077|1553-3093"	"ENG"
"ACM TRANSACTIONS ON THE WEB"	"1559-1131|1559-114X"	"ENG"
"A CONTRARIO"	"1660-7880"	"ENG|FRE"
"ACOTACIONES"	"1130-7269|2444-3948"	"SPA"
"ACOUSTICAL PHYSICS"	"1063-7710|1562-6865"	"ENG"
"ACOUSTICAL SCIENCE AND TECHNOLOGY"	"1346-3969|1347-5177"	"ENG"
"ACOUSTICS"	"2624-599X"	"ENG"
"ACOUSTICS AUSTRALIA"	"0814-6039|1839-2571"	"ENG"
"ACQUE SOTTERRANEE - ITALIAN JOURNAL OF GROUNDWATER"	"2280-6458|1828-454X"	"ENG|ITA"
"ACRN JOURNAL OF FINANCE AND RISK PERSPECTIVES"	"2305-7394"	"ENG"
"ACROCEPHALUS"	"0351-2851"	"ENG|SLV"
"ACR OPEN RHEUMATOLOGY"	"2578-5745"	"ENG"
"ACROSS LANGUAGES AND CULTURES"	"1585-1923|1588-2519"	"ENG"
"ACS AGRICULTURAL SCIENCE AND TECHNOLOGY"	"2692-1952"	"ENG"
"ACS APPLIED BIO MATERIALS"	"2576-6422"	"ENG"
"ACS APPLIED ELECTRONIC MATERIALS"	"2637-6113"	"ENG"
"ACS APPLIED ENERGY MATERIALS"	"2574-0962"	"ENG"
"ACS APPLIED MATERIALS & INTERFACES"	"1944-8244|1944-8252"	"ENG"
"ACS APPLIED NANO MATERIALS"	"2574-0970"	"ENG"
"ACS APPLIED POLYMER MATERIALS"	"2637-6105"	"ENG"
"ACS BIOMATERIAL SCIENCE AND ENGINEERING"	"2373-9878"	"ENG"
"ACS CATALYSIS"	"2155-5435"	"ENG"
"ACS CENTRAL SCIENCE"	"2374-7943|2374-7951"	"ENG"
"ACS CHEMICAL BIOLOGY"	"1554-8929|1554-8937"	"ENG"
"ACS CHEMICAL NEUROSCIENCE"	"1948-7193"	"ENG"
"ACS COMBINATORIAL SCIENCE"	"2156-8944|2156-8952"	"ENG"
"ACS EARTH AND SPACE CHEMISTRY"	"2472-3452"	"ENG"
"ACS ENERGY LETTERS"	"2380-8195"	"ENG"
"ACS ENVIRONMENTAL AU"	"2694-2518"	"ENG"
"ACS ENVIRONMENTAL SCIENCE AND TECHNOLOGY WATER"	"2690-0637"	"ENG"
"ACS ES&T ENGINEERING"	"2690-0645"	""
"ACS FOOD SCIENCE AND TECHNOLOGY"	"2692-1944"	"ENG"
"ACS INFECTIOUS DISEASES"	"2373-8227"	"ENG"
"ACS MACRO LETTERS"	"2161-1653"	"ENG"
"ACS MATERIALS AU"	"2694-2461"	"ENG"
"ACS MATERIALS LETTERS"	"2639-4979"	"ENG"
"ACS MEDICINAL CHEMISTRY LETTERS"	"1948-5875"	"ENG"
"ACSM'S HEALTH AND FITNESS JOURNAL"	"1091-5397|1536-593X"	"ENG"
"ACS NANO"	"1936-0851|1936-086X"	"ENG"
"ACS OMEGA"	"2470-1343"	"ENG"
"ACS PHARMACOLOGY AND TRANSLATIONAL SCIENCE"	"2575-9108"	"ENG"
"ACS PHOTONICS"	"2330-4022"	"ENG"
"ACS POLYMERS AU"	"2694-2453"	""
"ACS SENSORS"	"2379-3694"	"ENG"
"ACS SUSTAINABLE CHEMISTRY & ENGINEERING"	"2168-0485"	"ENG"
"ACS SYNTHETIC BIOLOGY"	"2161-5063"	"ENG"
"ACTA ACADEMIAE ARTIUM VILNENSIS"	"1392-0316"	"LIT"
"ACTA ACADEMICA"	"0587-2405"	"AFR|ENG"
"ACTA ACUSTICA"	"1022-4793|2681-4617"	"ENG|MUL"
"ACTA ADRIATICA"	"0001-5113|1846-0453"	"ENG|MUL"
"ACTA AGRICULTURAE SCANDINAVICA - SECTION A: ANIMAL SCIENCE"	"0906-4702|1651-1972"	"ENG"
"ACTA AGRICULTURAE SCANDINAVICA - SECTION B SOIL AND PLANT SCIENCE"	"0906-4710|1651-1913"	"ENG"
"ACTA AGRICULTURAE SLOVENICA"	"1581-9175"	"ENG|SLV"
"ACTA AGROBOTANICA"	"0065-0951|2300-357X"	"ENG"
"ACTA AGRONOMICA"	"0120-2812"	"ENG|POR|SPA"
"ACTA AGRONOMICA SINICA(CHINA)"	"0496-3490"	"CHI"
"ACTA ALIMENTARIA"	"0139-3006|1588-2535"	"ENG|HUN"
"ACTA AMAZONICA"	"0044-5967|1809-4392"	"ENG|POR|SPA"
"ACTA ANAESTHESIOLOGICA BELGICA"	"0001-5164"	"ENG"
"ACTA ANAESTHESIOLOGICA SCANDINAVICA"	"0001-5172|1399-6576"	"ENG"
"ACTA ANALYTICA - INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION"	"0353-5150|1874-6349"	"ENG"
"ACTA ANATOMICA SINICA"	"0529-1356"	"CHI"
"ACTA ANGIOLOGICA"	"1234-950X|1644-3276"	"ENG|POL"
"ACTA ANTIQUA ACADEMIAE SCIENTIARUM HUNGARICAE"	"0044-5975|1588-2543"	"ENG|FRE|GER|ITA"
"ACTA APPLICANDAE MATHEMATICAE"	"0167-8019|1572-9036"	"ENG"
"ACTA ARACHNOLOGICA"	"0001-5202"	"JPN"
"ACTA ARCHAEOLOGICA"	"0065-101X|1600-0390"	"ENG|GER"
"ACTA ARCHAEOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE"	"0001-5210|1588-2551"	"ENG|FRE|GER|ITA|RUS"
"ACTA ARCHAEOLOGICA LODZIENSIA"	"0065-0986|2451-0300"	"ENG"
"ACTA ARITHMETICA"	"0065-1036|1730-6264"	"ENG|MUL"
"ACTA ASIATICA VARSOVIENSIA"	"0860-6102|2449-8653"	"ENG"
"ACTA ASTRONAUTICA"	"0094-5765|1879-2030"	"ENG|MUL"
"ACTA ASTRONOMICA"	"0001-5237"	"ENG"
"ACTA BALNEOLOGICA"	"2082-1867"	"MUL"
"ACTA BALTICA HISTORIAE ET PHILOSOPHIAE SCIENTIARUM"	"2228-2009|2228-2017"	"ENG"
"ACTA BALTICO - SLAVICA"	"0065-1044|2392-2389"	"BEL|ENG|LIT|POL|RUS|UKR"
"ACTA BIOCHIMICA ET BIOPHYSICA SINICA"	"1672-9145|1745-7270"	"CHI|ENG"
"ACTA BIOCHIMICA POLONICA"	"0001-527X|1734-154X"	"ENG"
"ACTA BIOCLINICA"	"2244-8136"	"MUL"
"ACTA BIOETHICA"	"0717-5906|1726-569X"	"ENG|POR|SPA"
"ACTA BIOLOGICA COLOMBIANA"	"0120-548X|1900-1649"	"ENG|POR|SPA"
"ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA"	"0001-5296|1898-0295"	"ENG"
"ACTA BIOLOGICA SIBIRICA"	"2412-1908"	"ENG|RUS"
"ACTA BIOLOGICA SZEGEDIENSIS"	"1588-385X|1588-4082"	"ENG"
"ACTA BIOMATERIALIA"	"1742-7061|1878-7568"	"ENG"
"ACTA BIOMEDICA"	"0392-4203"	"ENG|ITA"
"ACTA BIOMEDICA SCIENTIFICA (EAST SIBERIAN BIOMEDICAL JOURNAL)"	"2541-9420|2587-9596"	"ENG|RUS"
"ACTA BIOQUIMICA CLINICA LATINOAMERICANA"	"0325-2957|1851-6114"	"SPA"
"ACTA BIOTHEORETICA"	"0001-5342|1572-8358"	"ENG"
"ACTA BOREALIA"	"0800-3831|1503-111X"	"ENG"
"ACTA BOTANICA BRASILICA"	"0102-3306|1677-941X"	"ENG|POR"
"ACTA BOTANICA CROATICA"	"0365-0588|1847-8476"	"ENG"
"ACTA BOTANICA HUNGARICA"	"0236-6495|1588-2578"	"ENG"
"ACTA BOTANICA MEXICANA"	"0187-7151|2448-7589"	"ENG|SPA"
"ACTA BOTANICA VENEZUELICA"	"0084-5906|2443-4264"	"SPA"
"ACTA BRASILIENSIS"	"2526-432X|2526-4338"	"POR"
"ACTA CARDIOLOGICA"	"0001-5385|1784-973X"	"ENG"
"ACTA CARDIOLOGICA SINICA"	"1011-6842"	"CHI|ENG"
"ACTA CARSOLOGICA"	"0583-6050|1580-2612"	"ENG|SLV"
"ACTA CHEMICA IASI"	"2067-2438|2067-2446"	"ENG"
"ACTA CHIMICA SINICA"	"0567-7351"	"CHI"
"ACTA CHIMICA SLOVACA"	"1337-978X|1339-3065"	"ENG"
"ACTA CHIMICA SLOVENICA"	"1318-0207|1580-3155"	"ENG|FRE|GER"
"ACTA CHIROPTEROLOGICA"	"1508-1109|1733-5329"	"ENG"
"ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA"	"2570-981X|0001-5415"	"CZE|ENG|GER|SLO"
"ACTA CHIRURGIAE PLASTICAE"	"0001-5423|1805-4404"	"ENG"
"ACTA CHIRURGICA BELGICA"	"0001-5458"	"ENG|FRE|MUL"
"ACTA CHROMATOGRAPHICA"	"1233-2356|2083-5736"	"ENG"
"ACTA CIRURGICA BRASILEIRA"	"0102-8650|1678-2674"	"ENG|POR"
"ACTA CLASSICA"	"0065-1141|2227-538X"	"ENG"
"ACTA CLINICA BELGICA"	"1784-3286|2295-3337"	"ENG|FRE"
"ACTA CLINICA CROATICA"	"0353-9466|1333-9451"	"ENG"
"ACTA COLOMBIANA DE PSICOLOGIA"	"0123-9155|1909-9711"	"ENG|SPA"
"ACTA COMMERCII"	"1684-1999|2413-1903"	"ENG"
"ACTA COMPORTAMENTALIA"	"0188-8145"	"POR"
"ACTA CRYSTALLOGRAPHICA SECTION A: FOUNDATIONS AND ADVANCES"	"2053-2733"	"ENG"
"ACTA CRYSTALLOGRAPHICA SECTION B: STRUCTURAL SCIENCE, CRYSTAL ENGINEERING AND MATERIALS"	"2052-5206"	"ENG"
"ACTA CRYSTALLOGRAPHICA. SECTION C, STRUCTURAL CHEMISTRY"	"2053-2296"	"ENG"
"ACTA CRYSTALLOGRAPHICA SECTION D: STRUCTURAL BIOLOGY"	"2059-7983"	"ENG"
"ACTA CRYSTALLOGRAPHICA SECTION E: CRYSTALLOGRAPHIC COMMUNICATIONS"	"2056-9890"	"ENG"
"ACTA CRYSTALLOGRAPHICA SECTION F: STRUCTURAL BIOLOGY COMMUNICATIONS"	"2053-230X"	"ENG"
"ACTA CYBERNETICA"	"0324-721X"	"ENG"
"ACTA CYTOLOGICA"	"0001-5547|1938-2650"	"ENG"
"ACTA DERMATO - VENEREOLOGICA"	"0001-5555|1651-2057"	"ENG"
"ACTA DERMATOVENEROLOGICA ALPINA, PANONICA ET ADRIATICA"	"1318-4458|1581-2979"	"ENG"
"ACTA DERMATOVENEROLOGICA CROATICA"	"1330-027X|1847-6538"	"ENG|HRV"
"ACTA DIABETOLOGICA"	"0940-5429|1432-5233"	"ENG"
"ACTA DIDACTICA NORDEN"	"2535-8219"	"NOR"
"ACTA ECOLOGICA SINICA"	"1872-2032"	"CHI"
"ACTA ENDOCRINOLOGICA - BUCHAREST"	"1841-0987|1843-066X"	"ENG"
"ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE"	"0374-1036|1804-6487"	"ENG"
"ACTA EPILEPTOLOGICA"	"2096-9384|2524-4434"	"ENG"
"ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA"	"1406-2283|2228-4699"	"ENG"
"ACTA ETHNOGRAPHICA HUNGARICA"	"1216-9803|1588-2586"	"ENG"
"ACTA ETHOLOGICA"	"0873-9749|1437-9546"	"ENG"
"ACTA FACULTATIS MEDICAE NAISSENSIS"	"0351-6083|2217-2521"	"ENG"
"ACTA FACULTATIS PHILOSOPHICAE UNIVERSITATIS OSTRAVIENIS STUDIA GERMANISTICA"	"1803-408X|2571-0273"	"ENG|GRE"
"ACTA FACULTATIS XYLOLOGIAE ZVOLEN"	"1336-3824"	"ENG|SLO"
"ACTA FYTOTECHNICA ET ZOOTECHNICA"	"1335-258X|1336-9245"	"ENG"
"ACTA GASTRO - ENTEROLOGICA BELGICA"	"1784-3227"	"MUL|ENG"
"ACTA GASTROENTEROLOGICA LATINOAMERICANA"	"0300-9033"	"SPA"
"ACTA GEOCHIMICA"	"2096-0956|2365-7499"	"ENG"
"ACTA GEODAETICA ET CARTOGRAPHICA SINICA"	"1001-1595"	"CHI"
"ACTA GEODAETICA ET GEOPHYSICA"	"2213-5812|2213-5820"	"ENG"
"ACTA GEODYNAMICA ET GEOMATERIALIA"	"2336-4351|1214-9705"	"CZE|ENG"
"ACTA GEOGRAPHICA LODZIENSIA"	"0065-1249"	"ENG"
"ACTA GEOGRAPHICA SINICA"	"0375-5444"	"CHI"
"ACTA GEOGRAPHICA SLOVENICA - GEOGRAFSKI ZBORNIK"	"1581-8314|1581-6613|1854-5106"	"ENG|SLV"
"ACTA GEOGRAPHICA UNIVERSITATIS COMENIANAE"	"1338-6034"	"ENG"
"ACTA GEOLOGICA POLONICA"	"0001-5709|2300-1887"	"ENG|POL"
"ACTA GEOLOGICA SINICA - ENGLISH EDITION"	"1000-9515|1755-6724"	"ENG"
"ACTA GEOLOGICA SLOVACA"	"1338-0044|1338-5674"	"CZE|ENG|SLO"
"ACTA GEOPHYSICA"	"1895-6572|1895-7455"	"ENG"
"ACTA GEOSCIENTICA SINICA"	"1006-3021"	"CHI"
"ACTA GEOTECHNICA"	"1861-1125|1861-1133"	"ENG"
"ACTA GEOTECHNICA SLOVENICA"	"1854-0171"	"ENG|SLV"
"ACTA GERMANICA - GERMAN STUDIES IN AFRICA"	"0065-1273"	"MUL"
"ACTA GYMNICA"	"2336-4912|2336-4920"	"ENG"
"ACTA HAEMATOLOGICA"	"0001-5792|1421-9662"	"ENG"
"ACTA HAEMATOLOGICA POLONICA"	"0001-5814|2300-7117"	"POL"
"ACTA HEPATOLOGICA JAPONICA"	"0451-4203"	"JPN"
"ACTA HERPETOLOGICA"	"1827-9635|1827-9643"	"ENG|ITA"
"ACTA HISTOCHEMICA"	"0065-1281|1618-0372"	"ENG|GER|MUL"
"ACTA HISTOCHEMICA ET CYTOCHEMICA"	"0044-5991|1347-5800"	"ENG"
"ACTA HISTORIAE ARTIS SLOVENICA"	"1408-0419"	"ENG|GER|ITA|SLV"
